id,Level1,Level2,Level3,Level4,Level5,Level6,Level7
337,-95.000000,-57.000000,nan,nan,nan,nan,nan
338,-99.000000,-57.000000,nan,nan,nan,nan,nan
339,-101.000000,21511.000000,-57.000000,-83.000000,nan,nan,nan
340,-101.000000,21511.000000,-57.000000,-89.000000,nan,nan,nan
341,-101.000000,21511.000000,-57.000000,-89.000000,nan,nan,nan
342,-99.000000,21511.000000,-57.000000,-93.000000,nan,nan,nan
343,-95.000000,21511.000000,-57.000000,-93.000000,nan,nan,nan
344,-97.000000,21511.000000,-57.000000,-93.000000,nan,nan,nan
345,-99.000000,-57.000000,nan,nan,nan,nan,nan
346,-95.000000,-57.000000,nan,nan,nan,nan,nan
347,-99.000000,-57.000000,nan,nan,nan,nan,nan
348,-99.000000,-57.000000,nan,nan,nan,nan,nan
349,-97.000000,-11.000000,nan,nan,nan,nan,nan
350,-95.000000,-11.000000,nan,nan,nan,nan,nan
351,-93.000000,-11.000000,nan,nan,nan,nan,nan
352,-95.000000,-11.000000,nan,nan,nan,nan,nan
353,-95.000000,-11.000000,nan,nan,nan,nan,nan
354,-95.000000,-11.000000,nan,nan,nan,nan,nan
355,-95.000000,-11.000000,nan,nan,nan,nan,nan
356,-97.000000,-11.000000,nan,nan,nan,nan,nan
357,-97.000000,-11.000000,nan,nan,nan,nan,nan
358,-95.000000,-11.000000,nan,nan,nan,nan,nan
359,-97.000000,21511.000000,-11.000000,nan,nan,nan,nan
360,-97.000000,21511.000000,-11.000000,nan,nan,nan,nan
361,-97.000000,21511.000000,-11.000000,nan,nan,nan,nan
362,-99.000000,21511.000000,-11.000000,nan,nan,nan,nan
363,-101.000000,21511.000000,-11.000000,nan,nan,nan,nan
364,-103.000000,21511.000000,-11.000000,nan,nan,nan,nan
365,-103.000000,21511.000000,-11.000000,nan,nan,nan,nan
366,-101.000000,21511.000000,-11.000000,nan,nan,nan,nan
367,-101.000000,21511.000000,-11.000000,nan,nan,nan,nan
368,-97.000000,21511.000000,-11.000000,nan,nan,nan,nan
369,-95.000000,21511.000000,-11.000000,nan,nan,nan,nan
370,-99.000000,21511.000000,-11.000000,nan,nan,nan,nan
371,-103.000000,21511.000000,-11.000000,nan,nan,nan,nan
372,-97.000000,21557.000000,203.000000,-83.000000,nan,nan,nan
